GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount
sxk3xw,41.080627,28.811646,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34490.0,İstanbul,,,Marmara Bölgesi,,Yaşar Doğu Bulvarı,,İkitelli OSB Mahallesi,,Başakşehir,,28504
sxk9nm,40.987244,29.108276,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34758.0,İstanbul,,,Marmara Bölgesi,,Küçükbakkalköy Bağlantısı,,Atatürk Mahallesi,,Ataşehir,,28504
sxk9q0,41.003723,29.09729,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34707.0,İstanbul,,,Marmara Bölgesi,,3100. Sokak,,Mustafa Kemal Mahallesi,,Ataşehir,,28492
sxk3hx,40.99823,28.67981,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,Beysan Sanayi Sitesi,,,,,,,,,34524.0,İstanbul,,,Marmara Bölgesi,,,,Yakuplu Mahallesi,,Beylikdüzü,,28496
sx7cmx,41.042175,28.02063,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34588.0,İstanbul,,,Marmara Bölgesi,,Dertli Sokak,,Gümüşyaka Mahallesi,,Silivri,,28297
sxkdtb,41.22345,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,,,,,Sarıyer,Rumelifeneri Mahallesi,28449
sxk90j,40.987244,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34149.0,İstanbul,,,Marmara Bölgesi,,,,Yeşilköy Mahallesi,,Bakırköy,,28441
sxkd86,41.234436,28.844604,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Eyüpsultan,Işıklar Mahallesi,28491
sxk36u,41.025696,28.602905,TR-34,,,,,,,,Türkiye,tr,,,,,,Tabya,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,,Hilal Caddesi,,19 Mayıs Mahallesi,,Büyükçekmece,,28492
sxk3kv,41.03119,28.690796,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34510.0,İstanbul,,,Marmara Bölgesi,,Balina Caddesi,,İnönü Mahallesi,,Esenyurt,,28498
sxk9j3,40.96527,29.064331,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,Raket Kulüp,,,,,,,34728.0,İstanbul,,,Marmara Bölgesi,,Şehit Selin Çelik Sokağı,,Caddebostan Mahallesi,,Kadıköy,,28238
sxk1qy,41.036682,28.427124,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534.0,İstanbul,,,Marmara Bölgesi,,,,Kamiloba Mahallesi,,Büyükçekmece,,28420
sxk9t9,41.05316,29.075317,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34680.0,İstanbul,,,Marmara Bölgesi,,Çağdaş Sokağı,Akasya Pastanesi,Güzeltepe Mahallesi,,Üsküdar,,28344
sxk9x3,41.05316,29.152222,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34830.0,İstanbul,,,Marmara Bölgesi,,,,Baklacı Mahallesi,,Beykoz,,26895
sxk9c3,41.097107,28.88855,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34265.0,İstanbul,,,Marmara Bölgesi,,2875. Sokak,,Esentepe Mahallesi,,Sultangazi,,28477
sxk3qy,41.036682,28.778687,TR-34,,Dilek Kafe,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34303.0,İstanbul,,,Marmara Bölgesi,Avrupa Konutları Atakent 3,Kent Meydanı,,Halkalı Merkez Mahallesi,,Küçükçekmece,,28461
sxk9pt,40.987244,29.163208,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34779.0,İstanbul,,,Marmara Bölgesi,,Kahraman Sokağı,,Yeni Çamlıca Mahallesi,,Ataşehir,,28463
sxkb9d,40.882874,29.251099,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34896.0,İstanbul,,,Marmara Bölgesi,,Tevfik İleri Caddesi,,Dumlupınar Mahallesi,,Pendik,,28505
sx7cmq,41.036682,28.009644,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34588.0,İstanbul,,,Marmara Bölgesi,,Mümtaz Sokak,,Gümüşyaka Mahallesi,,Silivri,,28355
sxk6ts,41.245422,28.723755,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34277.0,İstanbul,,,Marmara Bölgesi,,Viyadük 01,,Tayakadın Mahallesi,,Arnavutköy,,28485
sxk409,41.141052,28.152466,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Yolçatı Mahallesi,28462
sxkbbc,40.921326,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34882.0,İstanbul,,,Marmara Bölgesi,,Mühürdar Caddesi,,Yakacık Yeni Mahallesi,,Kartal,,28443
sxkc3u,41.025696,29.262085,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34791.0,İstanbul,,,Marmara Bölgesi,,Süleymaniye Caddesi,,Hilal Mahallesi,,Sancaktepe,,28445
sxk9zr,41.130066,29.152222,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34829.0,İstanbul,,,Marmara Bölgesi,,Paşabahçe Polonezköy Yolu,,Örnekköy Mahallesi,,Beykoz,Zerzavatçı Mahallesi,27592
sxk39h,41.06964,28.526001,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34537.0,İstanbul,,,Marmara Bölgesi,,Çatalca Yolu Caddesi,,Hürriyet Mahallesi,,Büyükçekmece,Ahmediye Mahallesi,28420
sxk9rs,41.025696,29.163208,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34773.0,İstanbul,,,Marmara Bölgesi,,,,Huzur Mahallesi,,Ümraniye,,28326
sxk9my,41.036682,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34690.0,İstanbul,,,Marmara Bölgesi,,,,Yavuztürk Mahallesi,,Üsküdar,,28296
sxk1fm,41.11908,28.22937,TR-34,,,,,,,,Türkiye,tr,,,,,,Karbey Dinlenme Tesisleri,,,,,,,,,,,,34570.0,İstanbul,,,Marmara Bölgesi,,Avrupa Otoyolu,,,,Silivri,Alipaşa Mahallesi,12411
sxk1rm,41.03119,28.449097,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530.0,İstanbul,,,Marmara Bölgesi,,Koyuncu Sokağı,,Kumburgaz Mahallesi,,Büyükçekmece,,28456
sxk3pk,40.98175,28.80066,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34153.0,İstanbul,Florya,,Marmara Bölgesi,,Avcılar Sokağı,,Şenlikköy Mahallesi,,Bakırköy,,28331
sx7fpe,41.15204,28.10852,TR-34,,,,,,,,Türkiye,tr,,,,Tüccar Kemal'in Çiftliği,,,,,,,,,,,,,,34582.0,İstanbul,,,Marmara Bölgesi,,D567,,,,Silivri,Çeltik Mahallesi,22231
sxk1w5,41.064148,28.394165,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534.0,İstanbul,,,Marmara Bölgesi,,,,Celaliye Mahallesi,,Büyükçekmece,,28454
sxk3s6,41.058655,28.668823,TR-34,,,akkoza 62,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34538.0,İstanbul,,,Marmara Bölgesi,,1655. Sokak,,Koza Mahallesi,,Esenyurt,,28469
sxk981,41.05316,28.833618,TR-34,,Doğanay,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34218.0,İstanbul,,,Marmara Bölgesi,,Maslak Caddesi,,Demirkapı Mahallesi,,Bağcılar,,28491
sxk9nh,40.98175,29.09729,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34750.0,İstanbul,Üçdutlar,,Marmara Bölgesi,,Kozyatağı O2 Bağlantısı,,Küçükbakkalköy Mahallesi,,Ataşehir,,28508
sxk9ew,41.080627,28.987427,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34410.0,İstanbul,,,Marmara Bölgesi,,Güneşli Sokağı,,Harmantepe Mahallesi,,Kâğıthane,,28485
