GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village
sxk3xw,41.080627,28.811646,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34490,İstanbul,,,Marmara Bölgesi,,Yaşar Doğu Bulvarı,,İkitelli OSB Mahallesi,,Başakşehir,
sxk9nm,40.987244,29.108276,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34758,İstanbul,,,Marmara Bölgesi,,Küçükbakkalköy Bağlantısı,,Atatürk Mahallesi,,Ataşehir,
sxk9q0,41.003723,29.09729,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34707,İstanbul,,,Marmara Bölgesi,,3100. Sokak,,Mustafa Kemal Mahallesi,,Ataşehir,
sxk3hx,40.99823,28.67981,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,Beysan Sanayi Sitesi,,,,,,,,,34524,İstanbul,,,Marmara Bölgesi,,,,Yakuplu Mahallesi,,Beylikdüzü,
sx7cmx,41.042175,28.02063,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34588,İstanbul,,,Marmara Bölgesi,,Dertli Sokak,,Gümüşyaka Mahallesi,,Silivri,
sxkdtb,41.22345,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450,İstanbul,,,Marmara Bölgesi,,,,,,Sarıyer,Rumelifeneri Mahallesi
sxk90j,40.987244,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34149,İstanbul,,,Marmara Bölgesi,,,,Yeşilköy Mahallesi,,Bakırköy,
sxkd86,41.234436,28.844604,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Eyüpsultan,Işıklar Mahallesi
sxk36u,41.025696,28.602905,TR-34,,,,,,,,Türkiye,tr,,,,,,Tabya,,,,,,,,,,,,34500,İstanbul,,,Marmara Bölgesi,,Hilal Caddesi,,19 Mayıs Mahallesi,,Büyükçekmece,
sxk3kv,41.03119,28.690796,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34510,İstanbul,,,Marmara Bölgesi,,Balina Caddesi,,İnönü Mahallesi,,Esenyurt,
