GEOHASH,NUMBER_OF_VEHICLES,LATITUDE,LONGITUDE
sx7chk,415161,40.98175048828125,27.9656982421875
sx7chm,708836,40.98724365234375,27.9656982421875
sx7cht,630179,40.98724365234375,27.9766845703125
sx7chw,831526,40.99273681640625,27.9766845703125
sx7chx,840029,40.99822998046875,27.9766845703125
sx7ck8,773567,41.00372314453125,27.9766845703125
sx7ck9,821823,41.00921630859375,27.9766845703125
sx7ckc,247521,41.00921630859375,27.9876708984375
sx7ckf,652551,41.01470947265625,27.9876708984375
sx7ckg,521798,41.02020263671875,27.9876708984375
sx7cm5,432926,41.02020263671875,27.9986572265625
sx7cmh,756644,41.02569580078125,27.9986572265625
sx7cmm,623801,41.03118896484375,28.0096435546875
sx7cmq,425209,41.03668212890625,28.0096435546875
sx7cmw,766155,41.03668212890625,28.0206298828125
sx7cmx,333822,41.04217529296875,28.0206298828125
sx7cmz,766999,41.04217529296875,28.0316162109375
sx7cqp,280401,41.04217529296875,28.0426025390625
sx7ctx,691180,41.08612060546875,28.0206298828125
sx7ctz,675830,41.08612060546875,28.0316162109375
sx7cu3,581939,41.09710693359375,27.9656982421875
sx7cu9,674572,41.09710693359375,27.9766845703125
sx7cuc,688439,41.09710693359375,27.9876708984375
sx7cv0,676191,41.09161376953125,27.9986572265625
sx7cv1,561060,41.09710693359375,27.9986572265625
sx7cv2,665135,41.09161376953125,28.0096435546875
sx7cw0,910906,41.04766845703125,28.0426025390625
sx7cw2,702971,41.04766845703125,28.0535888671875
sx7cw3,666390,41.05316162109375,28.0535888671875
sx7cw9,799851,41.05316162109375,28.0645751953125
sx7cwd,262582,41.05865478515625,28.0645751953125
sx7cwf,862196,41.05865478515625,28.0755615234375
sx7cwn,523403,41.08062744140625,28.0426025390625
sx7cwp,429549,41.08612060546875,28.0426025390625
sx7cwq,700788,41.08062744140625,28.0535888671875
sx7cwv,646266,41.07513427734375,28.0755615234375
sx7cww,650973,41.08062744140625,28.0645751953125
sx7cx4,768353,41.05865478515625,28.0865478515625
sx7cx7,894628,41.06414794921875,28.0975341796875
sx7cxj,833329,41.07513427734375,28.0865478515625
sx7cxk,775284,41.06964111328125,28.0975341796875
sx7cxm,256707,41.07513427734375,28.0975341796875
sx7cxs,1700486,41.06964111328125,28.1085205078125
sx7cxu,924996,41.06964111328125,28.1195068359375
sx7cxv,1174103,41.07513427734375,28.1195068359375
sx7fkq,732116,41.21246337890625,27.9656982421875
sx7fkw,1194809,41.21246337890625,27.9766845703125
sx7fky,1071487,41.21246337890625,27.9876708984375
sx7fme,562592,41.19598388671875,28.0206298828125
sx7fmg,1049423,41.19598388671875,28.0316162109375
sx7fmj,1260512,41.20697021484375,27.9986572265625
sx7fmk,861840,41.20147705078125,28.0096435546875
sx7fmm,1024578,41.20697021484375,28.0096435546875
sx7fmn,608027,41.21246337890625,27.9986572265625
sx7fms,1033435,41.20147705078125,28.0206298828125
sx7fpy,1467804,41.16851806640625,28.1195068359375
sx7fpz,1550354,41.17401123046875,28.1195068359375
sx7fq5,807656,41.19598388671875,28.0426025390625
sx7fqg,1271729,41.19598388671875,28.0755615234375
sx7fqk,785247,41.20147705078125,28.0535888671875
sx7fqs,940174,41.20147705078125,28.0645751953125
sx7fqu,2089402,41.20147705078125,28.0755615234375
sx7fqv,1013173,41.20697021484375,28.0755615234375
sx7fqx,804635,41.21795654296875,28.0645751953125
sx7fqy,918681,41.21246337890625,28.0755615234375
sx7fqz,252339,41.21795654296875,28.0755615234375
sx7fr4,1463143,41.19049072265625,28.0865478515625
sx7fr5,571918,41.19598388671875,28.0865478515625
sx7fr6,1728252,41.19049072265625,28.0975341796875
sx7fr8,991339,41.17950439453125,28.1085205078125
sx7fr9,1955979,41.18499755859375,28.1085205078125
sx7frb,693984,41.17950439453125,28.1195068359375
sx7fty,693865,41.25640869140625,28.0316162109375
sx7ftz,584397,41.26190185546875,28.0316162109375
sx7fv7,804883,41.28387451171875,28.0096435546875
sx7fvb,739609,41.26739501953125,28.0316162109375
sx7fvc,679277,41.27288818359375,28.0316162109375
sx7fvd,626365,41.27838134765625,28.0206298828125
sx7fve,468768,41.28387451171875,28.0206298828125
sx7fvk,465267,41.28936767578125,28.0096435546875
sx7fvm,476506,41.29486083984375,28.0096435546875
sx7fvp,728908,41.30584716796875,27.9986572265625
sx7fvq,329156,41.30035400390625,28.0096435546875
sx7fvr,718579,41.30584716796875,28.0096435546875
sx7fw3,674944,41.22894287109375,28.0535888671875
sx7fw5,830246,41.23992919921875,28.0426025390625
sx7fw6,769556,41.23443603515625,28.0535888671875
sx7fw8,836870,41.22344970703125,28.0645751953125
sx7fw9,599893,41.22894287109375,28.0645751953125
sx7fwh,792031,41.24542236328125,28.0426025390625
sx7fwj,929050,41.25091552734375,28.0426025390625
sx7fwn,291797,41.25640869140625,28.0426025390625
sx7ghb,1166869,41.31134033203125,27.9876708984375
sx7ghc,1204020,41.31683349609375,27.9876708984375
sx7ghd,990697,41.32232666015625,27.9766845703125
sx7ghe,599253,41.32781982421875,27.9766845703125
sx7ghf,430367,41.32232666015625,27.9876708984375
sx7ghk,375490,41.33331298828125,27.9656982421875
sx7ghm,436048,41.33880615234375,27.9656982421875
sx7gj0,416435,41.31134033203125,27.9986572265625
sxhzvq,425063,40.77301025390625,29.4158935546875
sxhzvr,1283270,40.77850341796875,29.4158935546875
sxhzvt,1293495,40.76751708984375,29.4268798828125
sxhzvw,1420213,40.77301025390625,29.4268798828125
sxk18j,976122,41.07513427734375,28.1304931640625
sxk18m,788456,41.07513427734375,28.1414794921875
sxk18n,716909,41.08062744140625,28.1304931640625
sxk18p,344606,41.08612060546875,28.1304931640625
sxk18r,556238,41.08612060546875,28.1414794921875
sxk18t,886438,41.07513427734375,28.1524658203125
sxk18v,1020006,41.07513427734375,28.1634521484375
sxk19j,920633,41.07513427734375,28.1744384765625
sxk19m,368653,41.07513427734375,28.1854248046875
sxk19q,899306,41.08062744140625,28.1854248046875
sxk19w,1008444,41.08062744140625,28.1964111328125
sxk19y,1001172,41.08062744140625,28.2073974609375
sxk1b2,658070,41.09161376953125,28.1414794921875
sxk1b9,707830,41.09710693359375,28.1524658203125
sxk1bd,729182,41.10260009765625,28.1524658203125
sxk1bg,815403,41.10809326171875,28.1634521484375
sxk1bu,551071,41.11358642578125,28.1634521484375
sxk1bx,1107858,41.13006591796875,28.1524658203125
sxk1by,1225675,41.12457275390625,28.1634521484375
sxk1bz,1486451,41.13006591796875,28.1634521484375
sxk1ch,529617,41.11358642578125,28.1744384765625
sxk1cj,1130844,41.11907958984375,28.1744384765625
sxk1cm,1483238,41.11907958984375,28.1854248046875
sxk1cn,757853,41.12457275390625,28.1744384765625
sxk1ct,1202988,41.11907958984375,28.1964111328125
sxk1cv,1724040,41.11907958984375,28.2073974609375
sxk1dn,1428610,41.08062744140625,28.2183837890625
sxk1dq,1490045,41.08062744140625,28.2293701171875
sxk1dt,887527,41.07513427734375,28.2403564453125
sxk1dv,1754008,41.07513427734375,28.2513427734375
sxk1dw,2029738,41.08062744140625,28.2403564453125
sxk1dx,439969,41.08612060546875,28.2403564453125
sxk1dz,386721,41.08612060546875,28.2513427734375
sxk1ej,1339609,41.07513427734375,28.2623291015625
sxk1ek,1506010,41.06964111328125,28.2733154296875
sxk1em,676392,41.07513427734375,28.2733154296875
sxk1es,1544638,41.06964111328125,28.2843017578125
sxk1eu,1550195,41.06964111328125,28.2952880859375
sxk1fb,507984,41.09161376953125,28.2513427734375
sxk1fc,374335,41.09710693359375,28.2513427734375
sxk1fj,1345767,41.11907958984375,28.2183837890625
sxk1fq,1657433,41.12457275390625,28.2293701171875
sxk1ft,497940,41.11907958984375,28.2403564453125
sxk1fu,258973,41.11358642578125,28.2513427734375
sxk1fv,2103387,41.11907958984375,28.2513427734375
sxk1fw,1804733,41.12457275390625,28.2403564453125
sxk1g4,321577,41.10260009765625,28.2623291015625
sxk1g5,689885,41.10809326171875,28.2623291015625
sxk1g7,1826052,41.10809326171875,28.2733154296875
sxk1ge,1761199,41.10809326171875,28.2843017578125
sxk1gg,1800500,41.10809326171875,28.2952880859375
sxk1gh,1681806,41.11358642578125,28.2623291015625
sxk1qx,1523950,41.04217529296875,28.4161376953125
sxk1qy,685073,41.03668212890625,28.4271240234375
sxk1qz,1342202,41.04217529296875,28.4271240234375
sxk1rg,1096461,41.02020263671875,28.4710693359375
sxk1rm,1279520,41.03118896484375,28.4490966796875
sxk1rn,1693081,41.03668212890625,28.4381103515625
sxk1rq,1136309,41.03668212890625,28.4490966796875
sxk1rs,1019611,41.02569580078125,28.4600830078125
sxk1rt,1527689,41.03118896484375,28.4600830078125
sxk1ru,1450273,41.02569580078125,28.4710693359375
sxk1s5,955737,41.06414794921875,28.3062744140625
sxk1s7,1325537,41.06414794921875,28.3172607421875
sxk1se,1351729,41.06414794921875,28.3282470703125
sxk1sf,423224,41.05865478515625,28.3392333984375
sxk1sg,1250632,41.06414794921875,28.3392333984375
sxk1sh,1024023,41.06964111328125,28.3062744140625
sxk1t4,1361033,41.05865478515625,28.3502197265625
sxk1t6,1419837,41.05865478515625,28.3612060546875
sxk1t9,1395950,41.05316162109375,28.3721923828125
sxk1tc,1345207,41.05316162109375,28.3831787109375
sxk1td,1939051,41.05865478515625,28.3721923828125
sxk1tg,464318,41.06414794921875,28.3831787109375
sxk1tr,848991,41.08612060546875,28.3612060546875
sxk1tt,1627685,41.07513427734375,28.3721923828125
sxk1tu,2061693,41.06964111328125,28.3831787109375
sxk1tv,664550,41.07513427734375,28.3831787109375
sxk1tw,1658183,41.08062744140625,28.3721923828125
sxk1tx,1286112,41.08612060546875,28.3721923828125
sxk1u4,1625429,41.10260009765625,28.3062744140625
sxk1u5,822059,41.10809326171875,28.3062744140625
sxk1u6,1881210,41.10260009765625,28.3172607421875
sxk1uc,1637067,41.09710693359375,28.3392333984375
sxk1ud,1834803,41.10260009765625,28.3282470703125
sxk1v1,2155540,41.09710693359375,28.3502197265625
sxk1v2,1959043,41.09161376953125,28.3612060546875
sxk1v3,955319,41.09710693359375,28.3612060546875
sxk1w0,1251144,41.04766845703125,28.3941650390625
sxk1w1,357657,41.05316162109375,28.3941650390625
sxk1w2,1309453,41.04766845703125,28.4051513671875
