Name,LATITUDE,LONGITUDE,road,town,county,province,region,postcode,suburb
MEYDAN TAKSİ,40.9856172,28.7245354,D100,Avcılar,Üniversite Mahallesi,İstanbul,Marmara Bölgesi,34320,
KARADENİZ TAKSİ,40.9853615,29.0593703010001,Karaman Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34732,Merdivenköy Mahallesi
STAR TAKSİ,40.9772661,29.0741841010001,Turkuaz Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34738,Erenköy Mahallesi
OYAK SİTESİ GÜL TAKSİ,41.1088455010001,28.9966259010001,Huzur Okulları Caddesi,Sarıyer,,İstanbul,Marmara Bölgesi,34485,Huzur Mahallesi
SİTE TAKSİ,41.089348,29.0222913010001,Yıldırım Oğuz Göker Sokak,Beşiktaş,,İstanbul,Marmara Bölgesi,34335,Akat Mahallesi
TAKSİM İLK YARDIM HASTANE TAKSİ,41.0321245,28.983375301,Bakraç Sokağı,Beyoğlu,,İstanbul,Marmara Bölgesi,34433,Cihangir
EVORA PARK SİTE TAKSİ,40.8590304,29.3005623010001,Prof. Dr. Necmettin Erbakan Caddesi,Tuzla,,İstanbul,Marmara Bölgesi,34947,Aydıntepe Mahallesi
ALTAYÇEŞME TAKSİ-2,40.9375427,29.134852601,Seri Sokağı,Maltepe,,İstanbul,Marmara Bölgesi,34843,Altayçeşme Mahallesi
DERBENT KÜLTÜR TAKSİ,41.130406801,29.025740801,,Sarıyer,,İstanbul,Marmara Bölgesi,34457,Çamlıtepe Mahallesi
ANADOLU MERKEZ DAYANIŞMA TAKSİ,40.9694624,29.111460101,Birleşik Sokağı,Ataşehir,,İstanbul,Marmara Bölgesi,34752,İçerenköy Mahallesi
ŞEN TAKSİ-2,40.966870601,29.0991667010001,Şehit Fatih Devravut Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34742,Kozyatağı Mahallesi
SARAY TAKSİ,40.910204,29.1636910010001,Keban Sokağı,Kartal,,İstanbul,Marmara Bölgesi,34846,Orhantepe Mahallesi
YENİ LEVENT MERCAN TAKSİ,41.0899084,29.0099961010001,Ladin Sokağı,Beşiktaş,,İstanbul,Marmara Bölgesi,34330,Konaklar Mahallesi
QUEEN BOMONTİ,41.0574013,28.9754775,İncirli Dede Caddesi,Şişli,,İstanbul,Marmara Bölgesi,34380,
MALL OF İSTANBUL TAKSİ,41.0643094,28.8068309010001,O3 Güney Yanyolu,Başakşehir,,İstanbul,Marmara Bölgesi,34490,Ziya Gökalp Mahallesi
ÇEMBERLİTAŞ MEYDAN,41.0095121270001,28.9708620530001,Vezirhanı Caddesi,Fatih,,İstanbul,Marmara Bölgesi,34120,Molla Fenari Mahallesi
BEYAZIT MEYDAN TAKSİ,41.009012737,28.965869739,Yeniçeriler Caddesi,Fatih,,İstanbul,Marmara Bölgesi,34130,Mimar Kemalettin Mahallesi
YUNUS EMRE TAKSİ,41.0112618860001,29.09073003,,Ümraniye,,İstanbul,Marmara Bölgesi,34762,Esenevler Mahallesi
DRAGOS TAKSİ,40.9122,29.138,Timurhan Sokak,Maltepe,,İstanbul,Marmara Bölgesi,34844,Yalı Mahallesi
KOZDERE TAKSİ,41.156547538,29.026962617,Akbuğday Çıkmazı Sokağı,Sarıyer,,İstanbul,Marmara Bölgesi,34453,Kazım Karabekir Paşa Mahallesi
