STATION_CODE,STATION_NAME,DISTRICT,DIRECTION,STOP_TYPE,LATITUDE,LONGITUDE
225981,DENİZ HARP OKULU,Tuzla,TUZLA,CCMODERN,40.8140130005245,29.266183999994
123932,BAŞAKPAZAR,Basaksehir,BASAKSEHIR 4. ETAP,İSTON GENİŞ,41.1113960005714,28.8100799999829
214552,ORTADAĞ,Sancaktepe,SARIGAZI,İETTBAYRAK,40.9545840005467,29.2146629999931
127912,CİHANGİR MAHALLESİ,Avcilar,B.ÇEKMECE,İETTBAYRAK,40.9909100005519,28.7138379999778
130712,ORHANGAZİ CADDESİ,Avcilar,AVCILAR-ESENYURT,İETTCAMLI,41.0031210005538,28.7097179999775
127001,GÜRPINAR,Beylikdüzü,SITELER-B.DÜZÜ,CCMODERN,40.9905620005515,28.6150769999693
108881,İNEBEY,Fatih,AKSARAY,CCMODERNDR,41.0088629810843,28.9502349969637
115181,ÇAKIROĞLU,Sariyer,AYAZAGA KÖYÜ,AÇIK DURAK,41.1088629888919,28.9970100084085
165111,VEYSEL KARANİ CADDESİ,Bagcilar,BAGCILAR,AÇIK DURAK,41.0635730301376,28.8497740219072
216932,DOĞANEVLER CADDESİ,Ümraniye,IMES,AÇIK DURAK,41.0132259995105,29.1374240058257
209061,TELEFON SANTRALİ,Tuzla,PENDIK,CCMODERNDR,40.8694820005333,29.3220969999944
229211,ATATÜRK CADDESİ,Pendik,GÖÇBEYLI,İETTBAYRAK,40.9738280005498,29.4593159999955
113001,ÇAYIRBAŞI,Sariyer,BAHÇEKÖY,WALLMODERN,41.1558149985463,29.0348399683754
113172,KEFELİKÖY,Sariyer,ÇAYIRBASI,CCMODERNDR,41.1533050005783,29.0360659999899
113212,FATİH PARK ORMANI,Sariyer,ÇAYIRBASI,WALLMODERN,41.1274010150937,29.0239879879719
113252,MASLAK,Sariyer,LEVENT,WALLMODERN,41.1085509961235,29.0209720086216
131892,FÜRUZAN SADIKOĞLU ORTAOKULU,Bagcilar,GÖZTEPE-AKSARAY,CCMODERN,41.0577740005628,28.8366709999843
166051,İSTOÇ  CAMİİ,Bagcilar,BASAKSEHIR,CCMODERN,41.0644960005639,28.8282689999839
103731,İBB BAKIRKÖY,Bakirköy,KAZLIÇESME,İETTBAYRAK,40.9997130865929,28.8857385193682
121861,BAKIRKÖY ADLİYESİ,Bakirköy,CEVIZLIBAG,CCMODERNDR,40.9998719662147,28.880701989387
206461,ÇAMLIK,Tuzla,PENDIK  132,İETTBAYRAK,40.9266679865022,29.351141005046
207582,BAHÇELER,Tuzla,BOSTANCI,İETTCAMLI,40.8178460005251,29.3013759999943
207801,İÇMELER MERKEZ,Tuzla,TEPEÖREN  133 D,CCMODERN,40.84922400053,29.3053649999943
213502,HALİL TÜRKKAN KIZ ANADOLU İMAM HATİP LİSESİ,Tuzla,ESENYALI,İETTBAYRAK,40.8721990005337,29.3337319999945
207602,TUZLA ANADOLU LİSESİ,Tuzla,KADIKÖY (500ES),CCMODERN,40.8204060005256,29.3078099999944
126581,BAŞAKŞEHİR 1.ETAP CAMİİ,Basaksehir,IKITELLI GARAJI,CCMODERN,41.1038740005701,28.7893539999819
126671,MİMARLAR SİTESİ,Basaksehir,ESENKENT-BOGAZKÖY,İETTBAYRAK,41.0785670005658,28.6745649999745
126672,MİMARLAR SİTESİ,Basaksehir,YENIKAPI,CCMODERNDR,41.0785960005658,28.6749009999745
127242,YEŞİLPARK,Basaksehir,YENIKAPI,AÇIK DURAK,41.085679000567,28.6724399999742
226441,GÜMRÜK BÖLGE MÜDÜRLÜĞÜ,Atasehir,KADIKÖY  19T,CCMODERN,40.9827820005511,29.134017999992
211452,UYDUKENT  ,Atasehir,SARIGAZI,İSTON GENİŞ,40.9863910005517,29.133556999992
129241,ABDURRAHMAN NAFİZ GÜRMAN MAHALLESİ,Güngören,Z.BURNU METRO-MERTER,CCMODERN,41.0056620005546,28.8928889999866
207631,VATAN CADDESİ,Tuzla,TUZLA,İETTBAYRAK,40.8252780005263,29.3210219999945
205892,AKFIRAT PARKI,Tuzla,AKFIRAT SONDURAK,AÇIK DURAK,40.9239830005418,29.4165739999952
229031,ORHANGAZİ CADDESİ,Tuzla,KARTAL,İETTCAMLI,40.9024780005384,29.3744769999948
218412,ŞENER SOKAK,Beykoz,KAVACIK,İETTCAMLI,41.1166480005726,29.1463339999919
218421,MEHMET UÇAR SOKAK,Beykoz,KAVACIK,İETTCAMLI,41.1103230005716,29.1480719999919
218611,KABAKOZ YOLU,Beykoz,KAVACIK,AÇIK DURAK,41.2163179606892,29.1633679891646
218661,UFUK CADDESİ,Beykoz,KAVACIK AKTARMA,İETTBAYRAK,41.0952980005692,29.1642129999921
219212,AYDINLAR SOKAK,Beykoz,ÜMRANIYE 11CT,İETTCAMLI,41.1035289631454,29.1307690321094
222931,KARACAAHMET CEMEVİ,Üsküdar,BAGLARBASI,WALLMODERN,41.0129460005559,29.02142099999
222951,ÜSKÜDAR ASKERLİK ŞUBESİ,Üsküdar,BAGLARBASI,WALLMODERN,41.0156880005563,29.0291769999902
206761,FATİH MAHALLESİ,Tuzla,SONDURAK,İSTON GENİŞ_İBB,40.9298230005428,29.3438669999945
103542,HAVA MÜZESİ,Bakirköy,KÜÇÜKÇEKMECE,CCMODERN,40.9632010005477,28.8253579999842
125152,SANAYİ MAHALLESİ,Bagcilar,IKITELLI AKSARAY,İETTBAYRAK,41.0450670005608,28.8163759999835
229572,EKİN SOKAK,Tuzla,SEKERPINAR,AÇIK DURAK,40.8435389785238,29.3660300097883
225872,TUZLA MARİNA,Tuzla,TUZLA,İETTBAYRAK,40.8220500005258,29.3210159999945
250182,YEŞİLVADİ PARK,Çayirova,SEKERPINAR,DİĞER,40.863971987046,29.378930029389
219461,KANLICA,Beykoz,BEYKOZ,WALLMODERN,41.0996357707854,29.0660273674773
113632,DUMLUPINAR İLKOKULU,Sariyer,K.ARMUTLU,İETTBAYRAK,41.0926319650401,29.0371629617126
100071,YEŞİLTEPE,Avcilar,AVCILAR,İETTBAYRAK,41.0361650005591,28.7039479999769
109772,TAYAKADIN TEPE,Arnavutköy,TERKOS,AÇIK DURAK,41.2645250005961,28.6858709999746
121362,TAŞ OCAĞI ,Eyüpsultan,KEMERBURGAZ,İETTBAYRAK,41.206951000587,28.8428339999841
128411,MEGAKENT,Beylikdüzü,AVCILAR,CCMODERN,40.9941260005522,28.6484949999725
106541,BOLLUCA,Arnavutköy,ARNAVUTKÖY,CCMODERN,41.1979250005854,28.7639609999802
120973,AYVANSARAY,Eyüpsultan,MECIDIYEKÖY,WALLMODERN,41.0381500005598,28.9374179999879
205191,ADİL MAHALLESİ,Sultanbeyli,ÜMRANIYE,İETTBAYRAK,40.9757540005501,29.2615149999936
212071,AYDINLAR CADDESİ,Darica,KARTAL METRO,AÇIK DURAK,40.7882589740097,29.3811899592196
212091,BAYRAMOĞLU,Gebze,PENDIK,CCMODERN,40.8096540079128,29.3693509784773
212562,MAKASBAŞI,Darica,GEBZE ISTASYON,İETTBAYRAK,40.7855309904384,29.4048269952069
260252,KUŞTEPE MESİRE ALANI,Çayirova,ÇAGDASKENT SAGLIK OCAGI,AÇIK DURAK,40.8364889812515,29.4035729990189
100552,OKUL CADDESİ,Avcilar,YESILKENT,AÇIK DURAK,41.0069569991164,28.7110270000068
216762,İTFAİYE AMİRLİĞİ,Beykoz,ÜMRANIYE 11Ç,CCMODERN,41.0748540005659,29.1381019999919
219792,KUZUDERE,Beykoz,BEYKOZ,İETTBAYRAK,41.1894430005845,29.2319429999928
226721,PAŞABAHÇE BLOKLARI,Atasehir,FINDIKLI,İETTBAYRAK,40.9685130005489,29.1196589999919
116331,LEVENT CAMİİ,Besiktas,LEVENT,İETTBAYRAK,41.0789060005665,29.0174389999898
116342,LOJMAN LOLU,Besiktas,EMIRGAN,CCMODERNDR,41.094538999929,29.0157609765359
116362,ÇİLEKLİ,Besiktas,EMIRGAN,CCMODERNDR,41.0933660440096,29.0183889740866
