ferry_terminal,latitude,longitude,ferry_terminal_address
Anadoluhisarı İskelesi,41.08323215,29.06664122621644,"Anadolu Hisarı İskelesi, Körfez Caddesi, Anadolu Hisarı Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34810, Türkiye"
Anadolu kavağı İskelesi,41.1734279,29.0878695,"Anadolu Kavağı, Anadolu Kavağı Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34825, Türkiye"
Arnavutköy İskelesi,41.0670409,29.0441386,"Arnavutköy İskelesi İsbike İstasyonu, Bebek Arnavutköy Caddesi, Arnavutköy Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34345, Türkiye"
Aşiyan İskelesi,41.0811404,29.0548617,"Aşiyan, Yahya Kemal Caddesi, Rumelihisarı Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34470, Türkiye"
Avcılar İskelesi,40.9710838,28.7179507,"Avcılar İDO İskelesi, Dr. Sadık Ahmet Caddesi, Ambarlı Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34314, Türkiye"
Ayvansaray İskelesi,41.0348171,28.949212,"Balat iskelesi, Ayvansaray Caddesi, Fener, Balat Mahallesi, İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34087, Türkiye"
Bakırköy İskelesi,40.973027650000006,28.877825781892124,"İDO Bakırköy İskelesi, Kennedy Caddesi, Zeytinlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34158, Türkiye"
Balat İskelesi,41.0348171,28.949212,"Balat iskelesi, Ayvansaray Caddesi, Fener, Balat Mahallesi, İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34087, Türkiye"
Barbaros Hayrettin Paşa İskelesi,41.040035849999995,29.00558725991379,"Beşiktaş - Kadıköy İskelesi, Hayrettin İskelesi Sokağı, Sinanpaşa, Sinanpaşa Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34353, Türkiye"
Bebek İskelesi,41.0670409,29.0441386,"Arnavutköy İskelesi İsbike İstasyonu, Bebek Arnavutköy Caddesi, Arnavutköy Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34345, Türkiye"
Beşiktaş İskelesi,41.0401701,29.0054055,"Hayrettin İskelesi Sokağı, Sinanpaşa, Sinanpaşa Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34353, Türkiye"
Beykoz İskelesi,41.108456450000006,29.082968547238764,"Çubuklu-İstinye Feribot İskelesi, Çubuklu Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34805, Türkiye"
Beylerbeyi İskelesi,41.0450559,29.0445612,"Beylerbeyi İskelesi, Arabacılar Sokağı, Beylerbeyi Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34676, Türkiye"
Bostancı İskelesi,40.95209775,29.09208210684411,"Bostancı Deniz Otobüsü İskelesi, Çetin Emeç Bulvarı, Bostancı Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34744, Türkiye"
Burgazada İskelesi,40.88156,29.06976682041596,"Burgazada Deniz Otobüsü İskelesi, Gezinti Caddesi, Burgazada Mahallesi, Adalar, İstanbul, Marmara Bölgesi, 34975, Türkiye"
Büyükada İskelesi,40.87494115,29.128303826866905,"Büyükada İskelesi, Gülistan Caddesi, Maden Mahallesi, Adalar, İstanbul, Marmara Bölgesi, 34970, Türkiye"
Büyük dere İskelesi,41.16077835,29.04621920305756,"Büyük Dere İskelesi, Piyasa Caddesi, Çayırbaşı Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34453, Türkiye"
Çengelköy İskelesi,41.051075999999995,29.05164624597994,"Çengelköy İskelesi, 14, Bosna Bulvarı-Nato Yolu, Çengelköy Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34009, Türkiye"
Çubuklu İskelesi,41.1074593,29.080455429420095,"Çubuklu İskelesi, Piri Reis Caddesi, Çubuklu Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34805, Türkiye"
Eminönü İskelesi,41.0171248,28.9762738,"Eminönü İskelesi, Reşadiye Caddesi, Sirkeci, Hobyar Mahallesi, İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34112, Türkiye"
Emirgan İskelesi,41.1030764,29.0559719,"Emirgan İskelesi İsbike İstasyonu, Sakıp Sabancı Caddesi, Boyacıköy, Emirgan Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34467, Türkiye"
Eyüpsultan İskelesi,41.047254249999995,28.937795350604468,"Eyüp Vapur İskelesi, Silahtarağa Caddesi, Nişancı Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34050, Türkiye"
Fener İskelesi,41.0348171,28.949212,"Balat iskelesi, Ayvansaray Caddesi, Fener, Balat Mahallesi, İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34087, Türkiye"
Hasköy İskelesi,41.0405509,28.9490619,"Hasköy, Kalafatçı Hamam Sokağı, Hasköy, Piri Paşa, Piri Paşa Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34445, Türkiye"
Heybeliada İskelesi,40.87784655,29.10087721123446,"Heybeliada Deniz Otobüsü İskelesi, Rıhtım Caddesı, Heybeliada Mahallesi, Adalar, İstanbul, Marmara Bölgesi, 34973, Türkiye"
İstinye İskelesi,41.1144597,29.0587931,"İstinye İskelesi, İstinye Caddesi, İstinye Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34460, Türkiye"
Kabataş İskelesi,40.99287975,29.022950184150773,"Şehir Hatları Karaköy Kabataş Eminönü İskelesi, Caferağa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Kadıköy İskelesi,40.9928581,29.0229962,"Kadıköy İskelesi, Şehir Hatları Karaköy Kabataş Eminönü İskelesi, Caferağa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Kandilli İskelesi,41.07462325,29.058427180589714,"Kandilli İskelesi, İstanbul, Marmara Bölgesi, Türkiye"
Kanlıca İskelesi,41.100252850000004,29.065323262745668,"Kanlıca İskelesi, Piri Reis Caddesi, Kanlıca Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34805, Türkiye"
Karaköy İskelesi,41.02144765,28.97670673586223,"Karaköy İskelesi, Rıhtım Caddesi, Karaköy, Kemankeş Karamustafa Paşa, Kemankeş Karamustafa Paşa Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34425, Türkiye"
Kasımpaşa İskelesi,41.0303919,28.966213152880936,"Kasımpaşa, Turabi Baba Caddesi, Camiikebir, Camiikebir Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34440, Türkiye"
Kınalıada İskelesi,40.91059785,29.055702549947547,"Kınalıada Vapur İskelesi, Alsancak Sokağı, Kınalıada Mahallesi, Adalar, İstanbul, Marmara Bölgesi, 34977, Türkiye"
Kuzguncuk İskelesi,41.036877,29.02973788367117,"Kuzguncuk İskelesi, 9-11, Kuzguncuk Çarşısı Caddesi, Kuzguncuk Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34674, Türkiye"
Küçüksu İskelesi,41.079614750000005,29.065386912686847,"Küçüksu İskelesi, Küçüksu Caddesi, Göksu Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34815, Türkiye"
Maltepe İskelesi,40.9181762,29.128461592217484,"Maltepe Vapur İskelesi, Turgut Özal Bulvarı, Yalı Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, 34844, Türkiye"
Ortaköy İskelesi,41.0670409,29.0441386,"Arnavutköy İskelesi İsbike İstasyonu, Bebek Arnavutköy Caddesi, Arnavutköy Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34345, Türkiye"
Paşabahçe İskelesi,41.116675,29.09324565,"Paşabahçe İskelesi, Yalı Erguvan Çıkmazı Sokağı, Paşabahçe Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, 34800, Türkiye"
Rumeli kavağı İskelesi,41.1816433,29.075199,"Rumeli Kavağı, Karakütük Caddesi, Yeni Mahalle, Sarıyer, İstanbul, Marmara Bölgesi, 34450, Türkiye"
Sarıyer İskelesi,41.16716,29.0576841,"İDO Sarıyer İskelesi, Köybaşı Caddesi, Merkez, Merkez Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34450, Türkiye"
Sütlüce İskelesi,41.0466672,28.9406879,"Sütlüce Vapur İskelesi, İmrahor Caddesi, Bademlik, Sütlüce, Sütlüce Mahallesi, Beyoğlu, İstanbul, Marmara Bölgesi, 34445, Türkiye"
Üsküdar İskelesi,41.0281402,29.0152875,"Üsküdar İskelesi, Paşalimanı Caddesi, Mimar Sinan Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34672, Türkiye"
İDO Yenikapı İskelesi,41.0021424,28.9563779,"İDO Yenikapı Terminalı, Kennedy Caddesi, Kumkapı, Katip Kasım Mahallesi, İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34130, Türkiye"
Yeniköy İskelesi,41.1217127,29.071195,"Yeniköy Şehir Hatları İskelesi, İskele Sokak, Yeniköy Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34464, Türkiye"
Moda İskelesi,40.9789898,29.0251042,"İBB Moda İskelesi Kütüphanesi, Moda Caddesi, Moda, Caferağa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Haydarpaşa İskelesi,40.99376875,29.0239218,"Turyol Eminönü ve Karaköy İskelesi, Peron 7, Haydarpaşa, Rasimpaşa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34716, Türkiye"
