Name,LineId,LineName,Description,Order,IsActive,FunctionalCode,Latitude,Longitude,RailType
KADIKOY,3,M4,Kadıköy,1,,M-M04-S-H-I-01,40.990663811475805,29.02200761747134,Metro
AYRILIK CESMESI,3,M4,Ayrılık Çeşmesi,2,,M-M04-S-H-I-02,41.00020434433358,29.030153258203203,Metro
ACIBADEM,3,M4,Acıbadem,3,,M-M04-S-H-I-03,41.002331976173814,29.044498290084867,Metro
UNALAN,3,M4,Ünalan,4,,M-M04-S-H-I-04,40.997886812202864,29.061370874184917,Metro
GOZTEPE,3,M4,Göztepe,5,,M-M04-S-H-I-05,40.9939284023244,29.070446236116393,Metro
YENISAHRA,3,M4,Yenisahra,6,,M-M04-S-H-I-06,40.984973265772204,29.090125340335963,Metro
KOZYATAGI,3,M4,Kozyatağı,7,,M-M04-S-H-I-07,40.9748528607554,29.099330474424526,Metro
BOSTANCI,3,M4,Bostancı,8,,M-M04-S-H-I-08,40.96483843441404,29.104601888800143,Metro
KUCUKYALI,3,M4,Küçükyalı,9,,M-M04-S-H-I-09,40.94848177811069,29.123705678871918,Metro
MALTEPE,3,M4,Maltepe,10,,M-M04-S-H-I-10,40.93649417481334,29.13681462729192,Metro
HUZUREVI,3,M4,Huzurevi,11,,M-M04-S-H-I-11,40.92996421985499,29.1469453905599,Metro
GULSUYU,3,M4,Gülsuyu,12,,M-M04-S-H-I-12,40.92389300760361,29.156546529079005,Metro
ESENKENT,3,M4,Esenkent,13,,M-M04-S-H-I-13,40.920594425063584,29.166297696250616,Metro
HASTANE - ADLIYE,3,M4,Hastane-Adliye,14,,M-M04-S-H-I-14,40.916312335081564,29.178430843993343,Metro
SOGANLIK,3,M4,Soğanlık,15,,M-M04-S-H-I-15,40.912789206970004,29.192839855288547,Metro
KARTAL,3,M4,Kartal,16,,M-M04-S-H-I-16,40.90681782551962,29.211026353862238,Metro
YAKACIK - ADNAN KAHVECI,3,M4,Yakacık-Adnan Kahveci,17,,M-M04-S-H-I-17,40.896729838850625,29.226960280320945,Metro
PENDIK,3,M4,Pendik,18,,M-M04-S-H-I-18,40.888385865460556,29.23816910887322,Metro
TAVSANTEPE,3,M4,Tavşantepe,19,,M-M04-S-H-I-19,40.88225595122738,29.248573155917992,Metro
YENIKAPI,1,M2,Yenikapı,1,,M-M02-S-H-I-01,41.0055971704,28.9513306172,Metro
VEZNECILER,1,M2,Vezneciler-İstanbul Ü.,2,,M-M02-S-H-I-02,41.011475,28.960705,Metro
HALIC,1,M2,Haliç,3,,M-M02-S-H-I-03,41.0224366195,28.9664183343,Metro
SISHANE,1,M2,Şişhane,4,,M-M02-S-H-I-04,41.028298,28.97285,Metro
TAKSIM,1,M2,Taksim,5,,M-M02-S-H-I-05,41.038496,28.985783,Metro
OSMANBEY,1,M2,Osmanbey,6,,M-M02-S-H-I-06,41.052955,28.987375,Metro
SISLI-MECIDIYEKOY,1,M2,Şişli-Mecidiyeköy,7,,M-M02-S-H-I-07,41.0645069127,28.9926697578,Metro
GAYRETTEPE,1,M2,Gayrettepe,8,,M-M02-S-H-I-08,41.0690012375,29.0109200808,Metro
LEVENT,1,M2,Levent,9,,M-M02-S-H-I-09,41.0767734293,29.0136876237,Metro
4.LEVENT,1,M2,4.Levent,10,,M-M02-S-H-I-10,41.0860080659,29.0070897722,Metro
SANAYI MAHALLESI,1,M2,Sanayi Mahallesi,11,,M-M02-S-H-I-11,41.0943240181,29.0053380126,Metro
